# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
zenbook;1;2018-01-25 19:12:02 UTC;enp0s20f0u1u3;123,00;219,00;12,90;43,06;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:12:03 UTC;enp0s20f0u1u3;141,00;245,00;17,42;47,97;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:12:04 UTC;enp0s20f0u1u3;157,00;241,00;19,16;49,21;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:12:05 UTC;enp0s20f0u1u3;142,00;253,00;17,26;50,36;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:12:06 UTC;enp0s20f0u1u3;166,00;289,00;21,96;59,00;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:07 UTC;enp0s20f0u1u3;190,00;305,00;26,00;62,09;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:08 UTC;enp0s20f0u1u3;176,00;292,00;20,66;58,91;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:09 UTC;enp0s20f0u1u3;175,00;310,00;20,93;63,25;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:10 UTC;enp0s20f0u1u3;162,00;278,00;19,35;55,20;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:11 UTC;enp0s20f0u1u3;186,00;315,00;21,69;63,82;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:12 UTC;enp0s20f0u1u3;203,00;362,00;28,89;73,12;0,00;0,00;0,00;0,06
zenbook;1;2018-01-25 19:12:13 UTC;enp0s20f0u1u3;216,00;369,00;29,13;74,55;0,00;0,00;0,00;0,06
zenbook;1;2018-01-25 19:12:14 UTC;enp0s20f0u1u3;227,00;394,00;29,34;81,93;0,00;0,00;0,00;0,07
zenbook;1;2018-01-25 19:12:15 UTC;enp0s20f0u1u3;185,00;324,00;25,92;64,19;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:16 UTC;enp0s20f0u1u3;199,00;345,00;30,28;67,59;0,00;0,00;0,00;0,06
zenbook;1;2018-01-25 19:12:17 UTC;enp0s20f0u1u3;178,00;321,00;18,52;64,45;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:18 UTC;enp0s20f0u1u3;184,00;339,00;20,06;67,48;0,00;0,00;0,00;0,06
zenbook;1;2018-01-25 19:12:19 UTC;enp0s20f0u1u3;177,00;319,00;18,46;63,82;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:20 UTC;enp0s20f0u1u3;171,00;326,00;18,06;65,83;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:21 UTC;enp0s20f0u1u3;194,00;332,00;20,56;65,16;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:22 UTC;enp0s20f0u1u3;176,00;322,00;18,60;64,14;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:23 UTC;enp0s20f0u1u3;188,00;330,00;19,84;64,99;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:24 UTC;enp0s20f0u1u3;169,00;327,00;17,94;66,18;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:25 UTC;enp0s20f0u1u3;174,00;309,00;18,23;61,70;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:26 UTC;enp0s20f0u1u3;189,00;333,00;19,96;66,09;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:27 UTC;enp0s20f0u1u3;178,00;328,00;18,75;65,14;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:28 UTC;enp0s20f0u1u3;179,00;324,00;18,98;64,65;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:29 UTC;enp0s20f0u1u3;173,00;328,00;18,17;65,79;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:30 UTC;enp0s20f0u1u3;170,00;319,00;17,87;64,26;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:31 UTC;enp0s20f0u1u3;191,00;342,00;20,49;67,25;0,00;0,00;0,00;0,06
zenbook;1;2018-01-25 19:12:32 UTC;enp0s20f0u1u3;175,00;319,00;18,33;63,64;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:33 UTC;enp0s20f0u1u3;185,00;329,00;19,50;65,02;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:12:34 UTC;enp0s20f0u1u3;171,00;317,00;18,17;63,75;0,00;0,00;0,00;0,05
